Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
470 000,"175, chemin de la Côte",Val-Des-Monts,3,2+1,2400,13965
489 000,"3390, rue la Corriveau",Ste-Adèle,4,2,1850,15840
380 000,chemin Isaac Grégoire Sud,La Minerve,4,2,1850,924146
499 900,"35, rue des Pruniers",Gatineau (Hull),5,3,1650,8065
459 000,"2030, rue Labérée",Magog,4,2+1,2100,48000
415 000,"26, chemin Hopkins",La Pêche,4,3,2100,30204
169 000,"94, rue Saint-Jean Baptiste Est",Montmagny,4,3,2100,2658
569 000,"262, chemin Bombardier",Racine,3,2,1200,14393
139 000,"405, rue Catherine Delzenne",Les Éboulements,3,2,1200,52549
194 500,"678-2, avenue Saint-Joseph",Ste-Marie,3,2,2000,4663
174 900,"210, chemin du Lac du Repos",St-Félicien,2,1,900,10720
160 000,"211, rue des Aïeux",Trois-Rivières (Pointe-Du-Lac),2,1,900,26900
377 000,"117, rue Sabrina",Chicoutimi (Chicoutimi-Nord),5,2,1456,9840
218 000,"625, rue 161e",St-Georges,3,2,1392,13037
179 500,"621, rue Principale",L'Avenir,2,1,1549,33782
189 900,"8, montée de la Rivière du Sud",Montmagny,06,2,1680,9500
524 900,"10, chemin Saint Louis",La Pêche,5,2,1932,609840
288 900,"159, chemin du Lac Nick",Bolton-Est,2,1,1817,22066
295 000,"1460, rue Léveillé",Alma,3,2,988,8000
205 000,"223, chemin Beland",St-Donat,3,2,1345,7300
167 900,"110-6250, boulevard Chevrier",Brossard,1,1,831,831
259 000,"278, rue du Bord de l'Eau",Sorel-Tracy,1,1,920,76944
174 000,"174, rue d'Amiens",Chicoutimi (Chicoutimi-Nord),3,2,864,6709
399 000,"195, montée de la Source",Cantley,5,2+1,2200,31462
289 000,"211, rue Ferland",St-Gabriel-De-Brandon,3,1,2200,41000
275 000,"55, chemin des Fondateurs",La Minerve,3,2,1395,39998
314 900,"156, rue De Lacolle",St-Jean-sur-Richelieu (St-Athanase),2,1,1450,4950
229 900,"144, chemin des Carouges",Nominingue,3,1,1551,45160
72 000,"31-02, chemin de L'Île",L'Isle-Verte,3,1,1551,139657
234 500,"40, rue Bédard",Boischatel,2,2+1,1584,5274
975 000,"699, rue des Érables",St-Lambert-De-Lauzon,2,2+1,1584,7360361
795 000,"30, montée du Golf",Lac-Beauport,5,3+1,3471,20074
309 500,"1364, rue Du Tracel",Cap-Rouge,3,1,1792,8180
439 000,"196, rue des Forgerons",Gatineau (Aylmer),4,4+2,2000,9508
575 000,"1595, rue de l'Ontario",Sherbrooke (Jacques-Cartier),9,5+1,2000,13200
199 900,"102, rue du Parc",Lac-Aux-Sables,4,1+1,1232,19276
289 000,"79, rue de Donnacona",Gatineau (Gatineau),4,2,1232,5001
189 000,"451, chemin Fany",Namur,2,1+1,1730,41695
525 000,"82, avenue Turcot",St-Sauveur,4,3,2500,8755
859 000,"52, rue des Aigles",Granby,3,1+2,3626,67025
239 500,"476, rue Main",Gatineau (Gatineau),3,2+1,1194,7200
425 000,"3034, chemin Saint-Charles",Terrebonne (Lachenaie),5,3+1,2250,20925
459 000,"985, rue Massawippi",North-Hatley,5,3,2250,12689
175 000,"1080, boulevard des Écluses",Ste-Catherine,2,1,1050,6574
379 000,"716, rue de la Coulée",Ste-Julie,4,2,960,6135
120 000,"1290-1280, rue Principale",St-Stanislas-De-Champlain,3,23,960,7398
250 000,"263, chemin du Golf",Montmagny,4,1,1389,592015
439 000,"22, rue des Mille-Roches",St-Jean-sur-Richelieu (St-Luc),3,1+1,1950,8300
195 500,"245, rue Sainte-Anne",Coaticook,4,2+1,1248,11147
59 000,rue du Condor,St-Calixte,4,2+1,1248,230000
215 000,"100, rue Caroline",Chicoutimi (Chicoutimi-Nord),4,2+2,1248,6123
319 000,"4-3555, rue de Rouen",Mercier / Hochelaga / Maisonneuve,2,1+1,867,2098
239 900,"540, avenue de Grenoble",Alma,4,1+1,1120,7571
250 000,"501, rue des Trembles",Shawinigan (St-Gerard-Des-Laurentides),4,2,1050,12879
Prix sur demande,"610, chemin Parent",La Pêche,4,2+1,2200,10890000
155 500,"1124, rue des Hérons Bleus",Degelis,5,2,1110,7920
199 000,"391-393, rue Bergeron",Sorel-Tracy,2,2,1312,6000
374 000,"4, rue Santerre",Trois-Pistoles,4,2,2284,115000
289 000,"2740, rue des Cormiers",Sherbrooke (Fleurimont),4,2+1,1680,8250
223 500,"772, rue Charland",Wotton,3,2+1,2432,19936
379 000,"1159, rue Shefford",Bromont,3,2+1,2378,10000
245 000,"3398, avenue Charlevoix",Mascouche,4,2,850,5088
89 500,"1224-1226, rue Saint-Cyrille",Normandin,5,2,850,14200
579 000,"10743, rue Sackville",Ahuntsic / Cartierville,3,2+1,1304,3800
169 500,"85, rue Jacob",Champlain,4,2,864,8760
23 900,"6, chemin Grace",Arundel,4,2,864,39479
625 000,"292, route du Nord",Brownsburg-Chatham,4,2,864,85000
169 000,"2845, rang des Chutes",St-Edouard-De-Maskinonge,4,1,1411,162890
265 000,"105, chemin Levac",Rivière-Beaudette,3,1+1,1200,30000
54 900,"0, route  Lafontaine",Entrelacs,3,1+1,1200,64200
154 000,"212-6400, rue le Mesnil",Lebourgneuf,1,1,834,1300
459 900,"3910, rue Prince-Charles",Longueuil (St-Hubert),5,2,1800,4998
239 000,"117, rue de l'Église",Napierville,3,2,1200,9200
70 000,rue de l'Aube,Val-David,3,2,1200,126400
58 500,130e avenue,St-Côme,3,1,1163,44928
117 800,"22, rue Langlois",Kazabazua,2,1,700,80800
174 900,"1310, rue Gérald Godin",Lévis,2,1+1,1088,140000
43 000,Lot 103-2,St-Mathieu-De-Rioux,2,1+1,1088,43055
160 000,"12, avenue de Grand-Mère",Shawinigan (Grand-Mère),2,1,880,210839
450 000,"1075, rue Provencher",Magog,4,1+1,1230,38750
595 000,"245, rue Cormier",Drummondville (Drummondville),4,2+1,700,9945
209 900,"42, rue de Batiscan",Gatineau (Gatineau),4,1,1050,3447
459 000,"143, rue du Bonniebrook",St-Colomban,3,2+1,2500,34000
329 000,"953, rue des Érables",St-Eustache,3,2+1,935,6000
325 000,"424, rue de Rayol",Gatineau (Gatineau),4,2+1,2116,5000
249 000,"5940, avenue Royale",St-Ferréol-les-Neiges,2,1,1034,54304
179 900,"871, rue des Cormiers",Rimouski (Rimouski),4,2+1,980,10800
274 000,"157, chemin de la Baie des Cèdres",Chambord,5,1+2,1632,24000
475 000,"6370, chemin du Lac-Pilon",Ste-Adèle,3,1+2,1092,1306800
299 000,"632, côte Saint-Paul",St-Colomban,3,1+1,1482,119428
159 000,"368, route 295",Degelis,2,1,1120,30000
189 500,"1169, rue de Saisons",St-Nicolas,2,1,1120,16500
339 000,"5546, rue des Rapides",Chicoutimi (Laterrière),2,2,1380,11642
230 000,"749, rue Bourgeois",Sept-Iles,7,2,1459,8300
439 900,"1223, rue des Genévriers",Pincourt,4,2+1,2063,8932
84 900,"620, avenue Champlain",Disraeli,5,2,2063,2239
199 950,"673, Haut de la Grande Ligne",St-Narcisse,2,2+1,1568,53749
575 000,"404-2120, rue du Colisée",Longueuil (Vieux-Longueuil),2,1+1,1398,38078
675 000,"1389, rang Jersey Sud",St-Côme-Linière,3,3+1,4440,3920400
289 000,"1866, rue des Hérons",Chicoutimi (Chicoutimi),4,2,2116,6000
299 000,"2085, rue de l'Alliance",St-Émile,3,2,917,5487
290 000,"10, avenue Gaspé est",St-Jean-Port-Joli,2,2,917,19696
449 000,"22, chemin Laurette",La Pêche,4,2+1,2200,30741
195 000,"112 - 114, rue de la Mer",Baie-des-Sables,5,2,2200,30000
49 000,"785, rang Sainte-Mathilde",La Malbaie (Cap-À-L'Aigle),5,2,2200,215278
275 000,"2069, avenue Wilson",Côte-des-Neiges / Notre-Dame-de-Grâce,2,1+1,850,635
"41 999,99","48, chemin de la Grève Fatima",Trois-Pistoles,2,1+1,850,5249
375 000,"1990, chemin de la Montagne",Lamarche,6,2,850,70895
489 000,"16850, rue Saphir",Mirabel (Mirabel en Haut),5,3+1,2180,17243
179 000,"7923, avenue Royal",Château-Richer,3,2,1550,2304
395 000,"430, chemin Georges Bonnalie",Eastman,4,1+1,1800,65340
269 000,"470, rue des Bruants",Chertsey,3,1+1,1230,62500
265 000,"949, rue de Saint-Hubert",Granby,4,2,1250,37000
778 888,"792, boulevard Hurtubise",Gatineau (Gatineau),4,2+2,3332,53819
234 999,263 Guy-Lafleur,Thurso,3,2,1325,8000
239 000,"113, rue Marie René",Henryville,2,1,1375,7594
347 900,"41, chemin du Lac des Journalistes",Ferme-Neuve,2,2+1,2000,42657
599 000,"3089, terrasse Thomas Valin",Ville-Marie (Centre-Ville et Vieux Mtl),3,1+1,1406,3387
429 900,"185, chemin Fogarty",Gatineau (Gatineau),3,2,1800,65340
250 000,"535, rang 5 et 6",Frampton,4,3+1,1860,51983
409 000,"112, chemin des Pruches",L'Ange-Gardien-Outaouais,3,2,1650,42851
439 000,"10820, avenue Gariépy",Montréal-Nord,3,1,1650,2925
379 000,"6720, rue Lévesque",Terrebonne (La Plaine),4,2,2300,21000
799 000,"203, rue Girard",Ste-Dorothée,4,2+1,3549,6455
275 000,"1370, 2e Rang",Neuville,5,1,2717,38997
1 200 000,"129, chemin Alarie",Huberdeau,5,2,2278,3702600
419 500,"870, chemin de la Sauvagine",Sorel-Tracy,5,2+1,1512,174252
285 000,"153, rue des Turquoises",Boischatel,5,2+1,1512,21289
39 000,"0000, chemin de la Grève Est",St-Denis de Kamouraska,5,2+1,1512,32378
157 999,"23, chemin du Lac-Perreault",Gracefield,3,1,1485,37500
600 000,"7371, rue du Merlot",Duvernay-Est,3,2+1,1627,5405
499 000,"719, rue de Dijon",Granby,6,2+1,2656,46744
190 000,"1799, rue Monet",Jonquière (Jonquière),4,2,2656,4069
210 000,"302-3740, boulevard Saint-Laurent",Ste-Catherine,2,1,1041,25104
469 000,"139, rue du Sanctuaire",St-Colomban,4,2+2,2400,71000
234 500,"106-3767, rue Gabrielle Vallée",Ste-Foy,1,1,970,970
449 000,"123, rue des Dunes",Vaudreuil-Dorion,4,2,1900,41065
119 000,"161, chemin du Lac Long",St-Côme,2,1,768,28083
129 995,"3, rue 18e",Fossambault-Sur-Le-Lac,2,1,736,3200
290 000,"1580, chemin du Lac Larivière",Wentworth-Nord,3,1,736,10600
317 500,"68, rue des Merisiers",ND-Des-Prairies,4,2,1488,6435
247 000,"14, rue Berard",Gatineau (Gatineau),3,1+1,988,5315
235 000,"236, rue Valiquette",Magog,3,1,2100,8920
269 000,"20, chemin Saxby Sud",Shefford,3,4,1269,53821
469 950,"39, chemin de la Topaze",L'Ange-Gardien-Outaouais,3,1+1,1600,81892
125 000,"310, rue Cyr Nord",Thetford Mines,3,1+1,1600,47038
800 000,"2645, rue des Pintades",Ste-Rose,4,1+2,2000,4732
535 000,"61, chemin du Versant",Petite-Rivière-St-François,6,4,2682,45100
250 000,"37, rue Saint-Joseph",Baie-St-Paul,5,1,1800,8280
294 700,"88, rue des Pétunias",Lévis,4,1+1,992,6520
329 000,"108, rue des Tuileries",Ste-Foy,4,1,1080,6500
829 000,"555, rue du Massif",Mont-St-Hilaire,4,2+2,3250,10824
59 000,"161, rue Principale Est",La Trinité-Des-Monts,2,1,3250,103333
265 000,"701, rue 163e",St-Georges,4,1+2,1728,9568
233 500,"498, rue Court",Gatineau (Aylmer),3,2,1025,6197
439 900,"100, rang Donalson",Shannon,6,3,4320,27000
235 000,"35, Impasse de l'Excursion",Gatineau (Aylmer),3,1+1,1200,2711
229 000,"2201, boulevard Université",Sherbrooke (Mont-Bellevue),6,1+2,1905,6900
224 900,", rue du Bataillon",Boischatel,6,1+2,1905,10060
274 000,"52, rue de la Viorne",Breakeyville,3,1+1,1456,3875
259 000,"155, impasse David",Mont-Tremblant (St-Jovite),3,1+1,1780,43102
579 000,"3221, chemin du Lac Canard",Shawinigan (St-Gerard-Des-Laurentides),2,2,1300,78026
120 000,"621, rue Gaudreault",St-Ludger-De-Milot,3,1,1136,20250
449 900,"115, rue Therrien",St-Mathieu-De-Beloeil,4,2+1,2100,23575
221 000,"65, rue d'Aunis",Chicoutimi (Chicoutimi),5,2,1792,5000
349 000,"900, rue de St-Hubert",Granby,5,2,3744,68326
274 500,"471, rue Aubervilliers",Terrebonne (Terrebonne),2,2+1,1300,4000
344 999,"118, rue Adrien",Chicoutimi (Chicoutimi-Nord),4,2,1320,6350
152 000,"40, rue Calvé",St-Côme,2,2,1320,49094
440 000,"149, rue des Peupliers",Scott,2,2,1676,18000
125 000,"Entrée Sud, route 132",Cloridorme,2,2,1676,2154000
150 000,", rue de L'Hermine",L'Anse-St-Jean,2,2,1676,62500
349 900,"418, avenue 27E",Deux-Montagnes,5,2+1,1024,6142
230 000,"6, rue Olivier Pagé",Gatineau (Masson-Angers),3,1,1141,6500
425 000,"91, chemin du Sommet Ouest",Rimouski (Rimouski),3,2,1772,49800
175 000,"11365, avenue 3e",St-Georges,4,2,1772,9811
730 000,"57, chemin Daigneault Sud",La Minerve,4,2,3800,348480
388 000,"160, chemin du Lac-Maillé",St-Hippolyte,2,3,3800,47051
435 000,"3169, rue Anne-Hébert",Mercier / Hochelaga / Maisonneuve,3,1+1,1586,1587
245 000,"4137, rue Saint-Eugène",Jonquière (Jonquière),3,3,1076,15822
299 900,"21, chemin des Cardinaux",Ste-Anne-Des-Lacs,3,1+1,1913,32292
359 000,"95 à 99, 3e avenue",Montmagny,7,3+1,1913,13000
143 000,"2-61, avenue Doucet",Mont-Joli,6,3,1913,9040
239 700,"4600, rue des Samares",Charlesbourg,3,2+1,1000,5178
254 900,"104-7041, avenue Marie G. Lajoie",Anjou,2,1,955,21233
540 000,"1065, route 249",St-Georges-De-Windsor,3,2+1,3700,2380800
560 000,"2936 à 2938, chemin Bedford",Côte-des-Neiges / Notre-Dame-de-Grâce,2,2,3700,2750
299 000,"1468, rue Provancher",Cap-Rouge,2,2,1313,10390
189 900,"379, rue Bergeron",St-Siméon,3,2+1,1144,7500
249 000,"3667, rue de la Sarthe",Jonquière (Jonquière),3,1+1,961,5645
450 000,"670, avenue 65e",St-Zotique,3,2,2792,10800
392 000,"26, rue du Nordet",St-Jean-sur-Richelieu (St-Luc),4,2+1,1808,10500
260 000,"233, chemin du Roy",Cap-Santé,4,2+1,1808,130000
195 000,"47, rue Principale Est",St-Anaclet-De-Lessard,5,2+1,1808,3810
549 000,"2339, rue de Troyes",Auteuil,4,2+1,1840,5000
165 000,"571, 11e rue Est",La Guadeloupe,3,2,1000,9000
239 900,"23, chemin du Lac Quinn",Aumond,3,1,1584,44400
299 000,"111, rue des Monts",St-Sauveur,2,1,628,10976
299 900,"1848, chemin Alfred-Desrochers",Orford,3,2+1,2200,117150
424 900,"65, avenue 373e",St-Hippolyte,4,1+1,1770,9260
262 000,"64, chemin Kerpen",Brownsburg-Chatham,3,1+1,1484,104321
235 000,"180 à 184, rue Sainte-Geneviève",Berthierville,5,2+1,3124,8395
220 000,"28, rue des Érables",Hatley,4,2,1500,15906
235 000,"4475, rue Caron",Gallix,3,2,932,8964
30 000,"chemin du lac l'Abies, lot c14ral31-3",Labelle,2,1,1200,43309
269 000,"234, rue Monique",Terrebonne (Lachenaie),3,2,1088,6027
89 500,"518, chemin Marie-Roussin accès via route 362",Les Éboulements,3,2,1088,30000
269 000,"70, chemin des Couleurs",St-Sauveur,3,2,1088,32628
270 000,"28, rue Bellevue",Baie-St-Paul,3,2,1176,7980
499 000,"3351-3353, boulevard Grande-Allée",Longueuil (St-Hubert),4,2+1,1792,5000
772 000,"6296, rue Principale",Ste-Croix,4,2+1,1792,15586
399 900,"155, rue des Bouleaux",Les Côteaux,4,4+1,2005,17250
629 000,"700, rue Ulric-Gravel",Chertsey,4,3,2400,40000
445 000,"323, rue  des Framboisiers",Gatineau (Aylmer),3,2+1,1750,4920
559 900,"1855, rue de la Bernache",St-Lazare,5,3,1800,21008
229 900,"4-3327, boulevard Gaétan Boucher",Longueuil (St-Hubert),2,1,1180,1233
359 000,"633, rue Jacques-Cartier Sud",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,1,1180,5875
468 000,"31, rue du Bel Hiver",St-Faustin-Lac-Carré,4,3+1,2850,36900
325 000,"509-511, côte Bédard",Charlesbourg,4,2,2850,7655
499 900,"3080, rue des Iris",Drummondville (Drummondville),4,2+1,2383,9450
229 000,"2323, rue Chapdelaine",Ste-Foy,1,1,918,8000
209 000,"9, rue des Frênes",Squatec,3,1+1,2010,10000
359 000,19 Beauregard,Warwick,3,1+2,2476,11880
575 000,"2933, rue du Versant",Ste-Marthe-Sur-Le-Lac,6,3+2,2476,8395
359 000,"300, rue Généreux",Berthierville,4,2,1783,9446
564 900,"233, boulevard de Gaulle",Lorraine,4,3,3600,68183
145 000,"1705, chemin Fontaine",Weedon,3,2,1100,97509
309 000,"12, chemin des Papillons",Ste-Anne-Des-Lacs,4,2,1250,32292
179 900,"1869, rue Guillet",Longueuil (Vieux-Longueuil),2,2+1,966,966
194 500,"4111, rue des Geais Bleus",Trois-Rivières (Pointe-Du-Lac),3,1+1,1264,8250
239 000,"369, route Principale",Wentworth-Nord,3,2,1600,42000
389 000,"26, chemin des Capelans",Ste-Anne-Des-Lacs,3,2,948,64588
130 000,"15, rue Mozart",St-Adolphe-D'Howard,3,2+1,1250,5050
299 000,"1727, rue Montarville",Longueuil (Vieux-Longueuil),2,1,896,7621
208 400,"26, rue de Candiac",Gatineau (Gatineau),4,1+1,1540,3600
310 000,"561, chemin Caron",Notre-Dame-de-Pontmain,3,2+1,2170,108028
399 000,"648, route de Lotbinière",Vaudreuil-Dorion,3,2,1666,22747
1 448 000,"6, rue Dublin",Candiac,5,3+1,3700,17379
429 000,"45, chemin du Vieux Quai",Baie-St-Paul,4,2+1,1934,25818
215 000,"95, rue Lecourtois",La Malbaie,3,1+1,1452,6885
285 000,"16, boulevard Albert Einstein",Chateauguay,3,1+1,1200,2160
300 000,"287, rue Jeannotte",Mont-St-Hilaire,3,1+1,950,6458
1 199 000,"1671, rue Candide Ducharme",Cap-Rouge,4,3+1,950,18196
290 000,"106, rue Tricentenaire",L'Ange-Gardien,2,1+1,785,6619
389 000,"1161, rue Shefford",Bromont,2,2,1200,9407
334 900,"127, chemin Hughes",Otter Lake,3,1,1200,53895
239 000,"109, rue de l'Aigle",Lac-Des-Ecorces,2,2+1,832,85610
589 000,"556, chemin Royal",Ile d'Orléans (St-Laurent),5,2,2665,46670
279 000,"2071, chemin des Pins",Trois-Rivières (St-Louis-De-France),3,2,2560,53819
440 000,"3685, rue des Vingt-Deux",Alma,3,1+1,10612,11000
190 000,"2363, rue Dézéry",Mercier / Hochelaga / Maisonneuve,1,1+1,691,704
399 000,"3646, chemin du Lac Sept Iles",St-Raymond,2,1,3000,18922
324 900,"248, rue Bertrand",Gatineau (Buckingham),3,2,1132,7020
344 000,"950, rue Robert Jean",Alma,4,2,2000,6872
275 000,"580, du village",Shawinigan (Lac-A-La-Tortue),3,2+1,1700,63000
245 000,"301-6080, rue Renoir",Montréal-Nord,2,1,1175,1
198 000,"3942, rue de la Fabrique",Jonquière (Jonquière),3,2+1,988,111781
995 900,"4655, rue Daigle",Lévis,4,2+1,2102,16446
449 000,"1020, boulevard de la Bretagne",Blainville,4,2,3300,10316
510 000,"3165, rue de la Licorne",Terrebonne (Terrebonne),3,4+1,2000,7000
379 000,"17, rue Olivier",St-Étienne-De-Lauzon,5,3+1,2300,16866
183 900,"2615, rue Dumaine",Drummondville (Drummondville),4,2,1066,5856
750 000,"3164, boulevard Gouin est",Montréal-Nord,3,3+2,2200,7228
289 500,"270, boulevard Lemire",Drummondville (Drummondville),5,2,1408,14040
375 000,"466, rue  Comeau",Drummondville (St-Nicéphore),6,2,1937,14910
350 000,"1415, rue de la Crémaillère",Val-Bélair,4,1+1,1364,4846
575 000,"107, rue Bailey",Bolton-Ouest,3,2+1,1500,1742400
789 000,"1268, chemin Galipeau",Ascot Corner,6,2,1782,1873080
419 000,"1583, rue du Portage",Chicoutimi (Chicoutimi),4,2+1,2405,7475
225 000,"454, rue de Beauharnois",Rimouski (Rimouski),4,2,952,7053
489 900,"1047, avenue des Diamants",Charlesbourg,3,1+1,1566,7200
435 000,"100, chemin des Buttes",St-Hippolyte,3,1+1,1800,62230
79 900,"184, rue Saint-Hilaire",East Angus,3,1+1,1575,2170
379 000,"6325, boulevard de Rome",Brossard,2,1,1171,746
1 550 000,"1950-52-54, rue Masson",Le Plateau-Mont-Royal,6,23,1171,1575
199 000,"170, rue Principale",Albanel,3,2,3100,14553
389 000,"191, rue Des Érables",St-Elzéar-de-Beauce,6,2+1,3136,53865
384 900,"12, place Philippe",St-Lambert-De-Lauzon,3,1+1,1550,17200
329 000,"893, 8e avenue",Val-Morin,1,1+1,1689,20033
395 000,"8613, chemin de la Batture",La Baie,3,1+1,1800,62000
287 900,"1078, chemin du Pont McCaskill",Rivière-Rouge (Ste-Véronique),3,1+1,1417,51387
299 900,"2650, rue de la Broussaille",Lebourgneuf,3,1+1,1248,5040
827 500,"222, rue du Saint-Laurent",Varennes,4,3+1,2200,8500
384 000,"3412-3414, Omer-Poirier",Charny,6,2,1272,6030
130 000,"134, rue Principale",St-Adalbert,2,2,1274,28439
249 000,"1656-1658, rue Galt ouest",Sherbrooke (Mont-Bellevue),7,4,1274,4450
425 000,"980, rue Notre-Dame Est",Trois-Rivières (Ste-Marthe-Du-Cap),5,3+1,2184,23885
200 000,boulevard David Bouchard,Granby,5,3+1,2184,505296
560 000,"63, rue Laval",Bromont,4,3+1,2800,18523
349 000,"10, chemin du Brûlé",Lac-Beauport,4,1,2000,55000
329 900,"7200, rue Chouinard",LaSalle,2,1,1020,1300
325 000,"400, rang de l'Église",St-Liguori,3,2,2253,123388
459 000,"169, rue Pasteur",Longueuil (Vieux-Longueuil),7,4,2253,4150
249 000,"2575-2577, rue St-Dominique",Jonquière (Jonquière),12,44,2253,3921
350 000,"300, chemin Nominingue",Lac-Saguay,2,1,1500,4486680
369 900,"327, rue Édouard Laberge",Mercier,3,2,1200,5295
239 000,"2298, rue de la Carriole",Ste-Adèle,3,1,1078,21985
299 000,"3, rue Bellevue",Potton (Mansonville),10,4+1,5458,65760
395 000,"110, avenue 6e",Louiseville,5,2+1,4279,17700
439 900,"103, rue des Chênes",Ste-Therese,4,3,1527,8250
299 000,"359, chemin des Épinettes",Piedmont,3,2+1,1500,8000
199 900,"2270, boulevard Louis XIV",Beauport,2,1+1,1344,2012
279 000,"440, chemin des Cyprès",Nominingue,5,1+1,1440,25488
359 000,"2725, rue Beaujolais",Brossard,5,3+1,1800,5700
457 000,"1220, avenue Charles-Huot",Sillery,8,2+1,1360,9687
345 000,boulevard Raymond Mailloux,Baie-St-Paul,8,2+1,1360,22000
659 000,"2595, rue de la Canardière",Ste-Rose,6,3+1,2357,5400
107 000,"747, avenue 5e",Shawinigan (Grand-Mère),2,1,1222,6175
350 000,"401, avenue des Aunes",Magog,2,2,1464,8500
275 000,"1169, boulevard Joli Coeur",St-Vincent-De-Paul,3,1+1,1000,4760
165 000,"20, route 362",Baie-St-Paul,3,1+1,1000,10494
Prix sur demande,"2200, boulevard Malcolm-Fraser",La Malbaie,3,1+1,1000,956140
345 000,"558, chemin d'Irlande",Percé,3,1+1,2400,180000
314 900,"390, chemin de la Grande Côte",St-Eustache,4,2+1,1575,8800
340 000,"210, chemin du Lac Hotte",St-André-Avellin,3,2+1,1261,22958
189 900,2700-2702 1ere avenue,St-Georges,6,4+2,2660,6666
495 000,"3151, rue Delorme",Sherbrooke (Mont-Bellevue),3,2+1,627,8106
350 000,"1165, rue des Orioles",Ste-Catherine,5,2,627,5000
59 500,rue des Dauphinelles,Val-Bélair,5,2,627,6396
990 000,"1558, autoroute Nord Sortie 58",Piedmont,5,2,627,345090
450 000,"2015, avenue Monseigneur-Moreau",Bécancour (Bécancour),23,2,627,21138
249 000,"142, rue des Sapins",Clarke City,2,2+1,1248,8000
479 000,"264, rue des Érables",Neuville,6,1+1,2600,18000
168 000,"1838, rue Wohler",Jonquière (Arvida),3,1,1152,5500
319 000,"104-385, rue Vaudreuil",Bromont,3,2,1249,400
500 000,"10, chemin des Alouettes",Ste-Anne-Des-Lacs,3,2,2255,18285
374 900,"810, rue de la Coulonge",Drummondville (St-Charles-De-Drummond),4,2+1,1700,6175
400 000,"4375, rue de la Promenade",St-Antoine-De-Tilly,5,2+1,2300,36993
413 697,"285, chemin du Lac Stoke",Stoke,4,2,2000,33852
236 500,"379, chemin Sabourin",Lac-Simon,3,1+2,1463,19500
205 000,"201-1070, rue du Sauvignon",Longueuil (Vieux-Longueuil),2,1,1050,10582
525 000,"1837, rue Lavallée",Val-David,3,2+1,2144,62205
220 000,"828, rue du Rocher Boisé",Ste-Adèle,4,1+1,1700,1338
233 000,"1591, rue Hamilton Ouest",Alma,4,1+1,1587,10543
498 240,"275-277, rue Taillefer",Salaberry-De-Valleyfield,4,1+1,1587,6500
399 000,"508, rue Tremblay",St-Henri-De-Taillon,3,2,2100,28739
450 000,"310, rue du Cantonnier",St-Augustin-De-Desmaures,3,3+1,1778,4190
290 000,"2276, rue St-Vallier",Jonquière (Jonquière),4,2,1700,6250
528 500,"333, chemin Kerr",Luskville,4,3,2300,43560
339 000,"3931, rue de la Tour",Jonquière (Lac-Kénogami),5,2,1866,24156
378 000,"1630, avenue Sylvestre",Stukely-Sud,3,2,1344,108900
979 900,"611, côte de Terrebonne",Terrebonne (Terrebonne),7,3+2,4209,19200
475 000,"667, chemin de la Rivière",Piedmont,4,2+1,3884,25963
375 000,Ile no 2,La Tuque,4,2,1824,50192
317 900,"32, chemin des Sables",L'Ange-Gardien-Outaouais,4,2+1,2497,34909
499 000,"7531, avenue 3e",Laval-Ouest,9,2+1,2497,4000
129 500,Coin Vimy et Delisle (secteur Nord),Chicoutimi (Chicoutimi-Nord),9,2+1,2497,50000
600 000,"342, rue de la Corniche",St-Nicolas,3,2+1,2000,12038
408 600,"19, rue du Jade",St-Jean-sur-Richelieu (St-Luc),3,2+1,1467,4950
449 000,"1468, chemin de Gaspé",Bromont,3,2,1500,5227200
349 000,"916, rue Nicolas Comiré",Ste-Marie,4,2+1,2429,8400
290 000,"72, avenue Grégoire",Candiac,3,1+1,1600,3264
325 000,"A-156, rue Presqu'Ile",St-Victor,3,1+1,1356,5231
219 900,"1-6170, rue Bernard-Racicot",Longueuil (St-Hubert),2,1,1136,17760
425 000,"1635, chemin Filiatrault",St-Sauveur,3,1,1200,9000
450 000,"113-115, rue St-Paul",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),7,6,1200,3168
130 000,"1980, boulevard David Bouchard",Roxton Pond,2,1+1,1200,107000
149 900,"15, rue Principale",St-André-Avellin,4,2+1,1200,12996
375 000,"353, avenue Rouleau",Rimouski (Rimouski),4,2,1200,5951
359 000,"7325, chemin Domaine Renaud",Alma,3,2,900,96635
549 000,"655, rue Jean-Félix",Mont-St-Hilaire,5,2,3077,8075
378 000,"506, rue de la Chapelle",Deux-Montagnes,4,3+1,2210,7000
199 900,"202-209, rue Marie-Chapelier",Beauport,2,1,980,1438
250 000,"13, rue Tremblay",Baie-Trinite,5,4+1,2749,5769
259 449,"10, rue Généreux",St-Jean-De-Matha,3,2,1278,54646
307 500,"839, rue Odile",Fabreville,3,1+1,1278,3100
499 000,"310, rue Wadleigh",North-Hatley,4,3+1,2000,36300
224 900,"301, rue de la Sève",Ste-Marthe-Sur-Le-Lac,3,1+1,983,3600
165 000,"1735, chemin Guérette",Pohénégamook,1,1,816,29520
299 900,"642, route 321 Nord",St-André-Avellin,12,4,816,42066
339 000,"74, rue Norman Bethune",Blainville,4,1+1,1017,5513
